City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mataura,NZ,2021-11-22 21:25:53,-46.1927,168.8643,54.99,57,15,3.49
68,Tiksi,RU,2021-11-22 21:25:53,71.6872,128.8694,-18.31,97,83,8.97
69,Chokurdakh,RU,2021-11-22 21:25:53,70.6333,147.9167,-13.86,100,100,2.84
70,Kyzyl-Suu,KG,2021-11-22 21:25:54,42.3414,78.0056,31.59,44,11,8.16
71,Dikson,RU,2021-11-22 21:25:54,73.5069,80.5464,-15.3,81,100,16.42
72,Hobart,AU,2021-11-22 21:25:55,-42.8794,147.3294,58.26,85,75,1.01
73,Olafsvik,IS,2021-11-22 21:25:55,64.8945,-23.7142,42.12,70,99,28.74
74,Grand-Santi,GF,2021-11-22 21:25:56,4.25,-54.3833,75.25,90,96,3.49
75,Ponta Do Sol,PT,2021-11-22 21:25:56,32.6667,-17.1,68.72,73,96,10.22
76,Ostrovnoy,RU,2021-11-22 21:25:56,68.0531,39.5131,20.8,86,59,25.86
77,Karad,IN,2021-11-22 21:25:57,17.2833,74.2,72.9,88,60,2.19
78,Prado,BR,2021-11-22 21:25:57,-17.3411,-39.2208,69.37,92,100,7.11
79,Elliot Lake,CA,2021-11-22 21:24:19,46.3834,-82.6331,28.49,71,100,10.36
80,Beloha,MG,2021-11-22 21:16:14,-25.1667,45.05,68.76,85,55,14.79
81,Camapua,BR,2021-11-22 21:25:58,-19.5314,-54.0439,82.96,68,95,4.47
82,Saskylakh,RU,2021-11-22 21:25:58,71.9167,114.0833,-25.94,99,13,7.31
83,Gejiu,CN,2021-11-22 21:18:10,23.306,103.1635,41.49,92,97,3.27
84,Haines Junction,CA,2021-11-22 21:25:59,60.7522,-137.5108,1.35,66,100,11.5
85,Nabire,ID,2021-11-22 21:17:38,-3.3667,135.4833,75.7,87,99,3.42
86,Djibo,BF,2021-11-22 21:25:59,14.1022,-1.6306,82.83,14,0,8.77
87,Nuuk,GL,2021-11-22 21:21:27,64.1835,-51.7216,23.61,86,75,2.3
88,Ilulissat,GL,2021-11-22 21:26:00,69.2167,-51.1,19.42,79,40,4.61
89,Busselton,AU,2021-11-22 21:26:00,-33.65,115.3333,54.05,65,99,7.92
90,Sao Joao Da Barra,BR,2021-11-22 21:26:01,-21.6403,-41.0511,73.49,68,79,7.43
91,Tuktoyaktuk,CA,2021-11-22 21:26:01,69.4541,-133.0374,-13.0,77,40,2.3
92,Panaba,MX,2021-11-22 21:26:02,21.2833,-88.2667,82.15,61,16,14.23
93,Lebu,CL,2021-11-22 21:26:02,-37.6167,-73.65,59.5,73,15,21.99
94,Bredasdorp,ZA,2021-11-22 21:26:02,-34.5322,20.0403,61.29,70,100,9.89
95,Impfondo,CG,2021-11-22 21:26:03,1.6381,18.0667,73.58,81,100,1.66
96,Madison,US,2021-11-22 21:25:08,34.7334,-86.5667,51.44,40,1,5.99
97,Wattegama,LK,2021-11-22 21:26:03,6.7989,81.4808,76.12,86,100,4.32
98,Chuy,UY,2021-11-22 21:26:04,-33.6971,-53.4616,86.68,35,75,8.86
99,Sergeyevka,KZ,2021-11-22 21:26:04,53.88,67.4158,29.88,95,100,13.27
100,Butaritari,KI,2021-11-22 21:26:04,3.0707,172.7902,81.0,80,41,14.97
101,Sitka,US,2021-11-22 21:26:05,57.0531,-135.33,42.69,56,75,16.11
102,Emerald,AU,2021-11-22 21:26:05,-23.5333,148.1667,69.94,83,90,9.22
103,Lagoa,PT,2021-11-22 21:26:06,39.05,-27.9833,65.01,83,100,28.03
104,Kalilangan,PH,2021-11-22 21:26:06,7.8211,124.7314,65.5,91,63,1.48
105,Morondava,MG,2021-11-22 21:26:07,-20.2833,44.2833,79.66,85,99,8.19
106,Maraa,BR,2021-11-22 21:26:07,-1.8333,-65.3667,82.4,83,100,2.35
107,Cayenne,GF,2021-11-22 21:26:07,4.9333,-52.3333,82.44,87,20,4.61
108,New Norfolk,AU,2021-11-22 21:26:08,-42.7826,147.0587,57.9,60,92,2.51
109,Talcahuano,CL,2021-11-22 21:26:08,-36.7167,-73.1167,71.28,56,0,17.27
110,Hithadhoo,MV,2021-11-22 21:21:14,-0.6,73.0833,80.78,80,100,15.5
111,Kavieng,PG,2021-11-22 21:26:09,-2.5744,150.7967,83.48,77,98,14.12
112,Taltal,CL,2021-11-22 21:17:01,-25.4,-70.4833,64.18,70,85,4.65
113,Yangambi,CD,2021-11-22 21:26:09,0.8102,24.4336,69.82,95,81,1.16
114,Qinhuangdao,CN,2021-11-22 21:26:09,39.9317,119.5883,26.73,32,0,8.39
115,Yulara,AU,2021-11-22 21:26:10,-25.2406,130.9889,66.04,82,90,8.05
116,Qaqortoq,GL,2021-11-22 21:26:10,60.7167,-46.0333,23.5,84,100,3.22
117,La Rioja,ES,2021-11-22 21:26:11,42.25,-2.5,37.49,97,100,5.5
118,Georgetown,MY,2021-11-22 21:26:11,5.4112,100.3354,79.9,93,20,3.44
119,Victoria,HK,2021-11-22 21:25:37,22.2855,114.1577,61.95,77,100,5.99
120,Broome,US,2021-11-22 21:26:12,42.2506,-75.833,36.63,59,90,4.0
121,Carnarvon,AU,2021-11-22 21:26:12,-24.8667,113.6333,62.67,72,0,16.11
122,Pionerskiy,RU,2021-11-22 21:26:12,54.9508,20.2275,33.64,62,96,16.46
123,Pemberton,CA,2021-11-22 21:26:13,50.3164,-122.8027,42.49,91,100,7.83
124,Port Lincoln,AU,2021-11-22 21:26:13,-34.7333,135.8667,60.98,79,100,11.5
125,Kaitangata,NZ,2021-11-22 21:26:14,-46.2817,169.8464,54.73,56,10,5.06
